日付,受注ID,顧客名,商品名,カテゴリ,数量,単価,売上金額,担当者
2024-10-01,SO-00053,Dummy Solutions,ログ分析サービス,Analytics,12,18000,216000,担当A
2024-10-01,SO-00110,Example Corp,オンラインストレージ,Cloud,3,8000,24000,担当D
2024-10-01,SO-00170,サンプル株式会社C,セキュリティソフトウェア,Security,19,12000,228000,担当A
2024-10-01,SO-00174,サンプル株式会社A,ID管理サービス,Security,10,15000,150000,担当D
2024-10-01,SO-00192,サンプル株式会社B,デバイス管理ツール,IT管理,3,30000,90000,担当C
2024-10-01,SO-00139,Dummy Solutions,ログ分析サービス,Analytics,15,18000,270000,担当D
2024-10-02,SO-00067,サンプル株式会社C,セキュリティソフトウェア,Security,5,12000,60000,担当D
2024-10-04,SO-00287,テストコーポレーション,セキュリティソフトウェア,Security,14,12000,168000,担当B
2024-10-05,SO-00121,テストコーポレーション,オンラインストレージ,Cloud,9,8000,72000,担当A
2024-10-05,SO-00133,デモ株式会社,オンラインストレージ,Cloud,3,8000,24000,担当E
2024-10-06,SO-00060,サンプル株式会社A,ログ分析サービス,Analytics,21,18000,378000,担当A
2024-10-07,SO-00300,Sample Systems,ログ分析サービス,Analytics,8,18000,144000,担当E
2024-10-08,SO-00062,デモ株式会社,セキュリティソフトウェア,Security,10,12000,120000,担当E
2024-10-08,SO-00049,デモ株式会社,オンラインストレージ,Cloud,9,8000,72000,担当B
2024-10-08,SO-00197,Sample Systems,セキュリティソフトウェア,Security,21,12000,252000,担当D
2024-10-09,SO-00109,デモ株式会社,セキュリティソフトウェア,Security,12,12000,144000,担当B
2024-10-10,SO-00219,サンプル株式会社B,クラウドサービス利用料,SaaS,16,5000,80000,担当B
2024-10-10,SO-00098,サンプル株式会社A,クラウドサービス利用料,SaaS,24,5000,120000,担当E
2024-10-11,SO-00198,Sample Systems,クラウドサービス利用料,SaaS,15,5000,75000,担当A
2024-10-11,SO-00256,サンプル株式会社C,クラウドサービス利用料,SaaS,24,5000,120000,担当C
2024-10-12,SO-00285,サンプル株式会社A,ID管理サービス,Security,1,15000,15000,担当D
2024-10-12,SO-00117,Sample Systems,ログ分析サービス,Analytics,23,18000,414000,担当E
2024-10-12,SO-00094,テストコーポレーション,クラウドサービス利用料,SaaS,6,5000,30000,担当C
2024-10-12,SO-00201,デモ株式会社,ログ分析サービス,Analytics,23,18000,414000,担当C
2024-10-13,SO-00007,テストコーポレーション,クラウドサービス利用料,SaaS,18,5000,90000,担当B
2024-10-13,SO-00267,Example Corp,オンラインストレージ,Cloud,18,8000,144000,担当E
2024-10-13,SO-00195,Dummy Solutions,セキュリティソフトウェア,Security,12,12000,144000,担当E
2024-10-13,SO-00095,サンプル株式会社C,セキュリティソフトウェア,Security,10,12000,120000,担当C
2024-10-13,SO-00145,デモ株式会社,クラウドサービス利用料,SaaS,2,5000,10000,担当C
2024-10-14,SO-00036,サンプル株式会社B,クラウドサービス利用料,SaaS,19,5000,95000,担当B
2024-10-16,SO-00199,デモ株式会社,セキュリティソフトウェア,Security,24,12000,288000,担当A
2024-10-16,SO-00162,Dummy Solutions,デバイス管理ツール,IT管理,19,30000,570000,担当C
2024-10-17,SO-00203,サンプル株式会社A,セキュリティソフトウェア,Security,4,12000,48000,担当D
